"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 01 14:32:15 GMT 2025","Wed Oct 01 14:32:31 GMT 2025","16268","","Добавление нового кандидата","","tests.candidates.AddCandidateTests","addNewCandidateValidationErrors","Проверка валидационных сообщений об ошибке на модалке ʼДобавить кандидатаʼ [2] SHORT_NAME",""
"passed","Wed Oct 01 14:30:33 GMT 2025","Wed Oct 01 14:30:36 GMT 2025","2841","","Login tests","","tests.authandregistration.LoginTests","emptyFields_showRequiredErrors","SS-T62: Пустые поля при логине → обязательные поля",""
"passed","Wed Oct 01 14:30:22 GMT 2025","Wed Oct 01 14:30:25 GMT 2025","3352","","Reset user password (Settings(API)","","tests.users.ResetUserPasswordTests","resetPassword_returns200","Users: reset password",""
"passed","Wed Oct 01 14:30:42 GMT 2025","Wed Oct 01 14:30:45 GMT 2025","2695","","Register user (Settings(API)","","tests.users.RegisterUserTests","registerUser_returns201","Users: register",""
"failed","Wed Oct 01 14:35:05 GMT 2025","Wed Oct 01 14:35:22 GMT 2025","17073","","Генерация вопросов через UI","","tests.managetests.GenerateQuestionsUiTests","generateQuestions_success","Генерация вопросов: позитивный сценарий → модалка открывается",""
"passed","Wed Oct 01 14:30:08 GMT 2025","Wed Oct 01 14:30:08 GMT 2025","650","","Проверка запросов POST /candidates","","tests.candidates.CreateNewCandidateTests","createNewCandidateWithoutData","Check error response when creating a new candidate without data",""
"passed","Wed Oct 01 14:33:15 GMT 2025","Wed Oct 01 14:33:31 GMT 2025","15589","","Добавление нового кандидата","","tests.candidates.AddCandidateTests","closeAddCandidateModal","Проверка закрытия модалки 'Добавить кандидата'",""
"passed","Wed Oct 01 14:31:59 GMT 2025","Wed Oct 01 14:32:15 GMT 2025","16676","","Добавление нового кандидата","","tests.candidates.AddCandidateTests","addNewCandidateValidationErrors","Проверка валидационных сообщений об ошибке на модалке ʼДобавить кандидатаʼ [1] MISSING_NAME",""
"passed","Wed Oct 01 14:34:11 GMT 2025","Wed Oct 01 14:34:25 GMT 2025","13894","","Settings tests UI","","tests.settings.SettingsTests","changeRole","Change role",""
"passed","Wed Oct 01 14:35:22 GMT 2025","Wed Oct 01 14:35:26 GMT 2025","3867","","Создание теста через UI","","tests.managetests.CreateTestUiTests","createTestModalAppearsAfterClick","Модальное окно 'Создать тест' открывается после клика",""
